v,vw,o,c,h,l,t,n
42889.0,161.4952,161.55,161.37,161.56,161.37,1638572400000,422
51700.0,161.3805,161.38,161.25,161.56,161.2,1638576000000,499
184575.0,163.5501,163.29,163.2,164.25,162.8,1638781200000,3008
113150.0,162.776,163.18,162.12,163.8,161.84,1638784800000,2191
67112.0,162.648,162.09,163.2,163.2,162.09,1638788400000,1521
433954.0,162.9743,163.13,163.51,163.65,162.02,1638792000000,5795
1056754.0,163.5859,162.3102,163.95,164.08,161.436,1638795600000,9810
22375709.0,165.751,163.95,167.12,167.16,163.51,1638799200000,201131
22361686.0,166.642,167.1,165.9999,167.8799,165.28,1638802800000,202445
10281831.0,165.6054,165.99,165.61,166.24,164.9028,1638806400000,96552
7329579.0,166.1039,165.61,166.2899,166.44,165.6,1638810000000,67087
7371664.0,166.0772,166.3,166.195,166.42,165.57,1638813600000,64814
6972537.0,165.8141,166.195,165.55,166.5,165.29,1638817200000,67796
12360112.0,165.3975,165.54,165.29,165.83,164.99,1638820800000,112050
4290475.0,165.3127,165.32,165.29,165.32,164.89,1638824400000,2936
724297.0,165.3092,165.31,165.1,165.32,165.04,1638828000000,1026
27115.0,165.074,165.15,165.09,165.2,165.02,1638831600000,351
64495.0,165.0137,165.08,165.1,165.1,164.83,1638835200000,579
127071.0,168.1057,168.22,168.08,168.63,166.14,1638867600000,2168
76412.0,168.5321,168.15,168.85,168.9,168.15,1638871200000,926
96726.0,168.3877,168.85,168.4,168.91,168.06,1638874800000,1467
331373.0,168.3946,168.35,168.52,168.8,168.12,1638878400000,4097
772323.0,168.9054,168.2999,168.95,169.45,164.907,1638882000000,10262
20997830.0,169.7467,168.94,170.1552,170.78,168.34,1638885600000,177779
19316724.0,170.6779,170.15,170.745,171.28,169.97,1638889200000,160455
13065793.0,170.9891,170.74,171.0666,171.4773,170.48,1638892800000,105844
9949517.0,171.2528,171.0711,171.11,171.58,170.81,1638896400000,77179
7971534.0,170.7232,171.1,170.45,171.14,170.321,1638900000000,65847
9346122.0,169.8995,170.44,169.93,170.445,169.45,1638903600000,71311
20416194.0,170.3862,169.93,171.2,171.27,169.8101,1638907200000,132740
6229107.0,171.4329,171.18,172.8,173.8799,171.02,1638910800000,16986
2572439.0,171.3526,172.75,172.6,173.29,171.18,1638914400000,3903
162667.0,172.4118,172.6,172.35,172.6,172.11,1638918000000,1536
204772.0,172.3878,172.37,172.58,172.6,172.07,1638921600000,1441
149460.0,173.0511,172.86,172.78,173.48,172.38,1638954000000,3070
67982.0,172.3179,172.81,172.24,172.87,171.9,1638957600000,1302
139546.0,172.5255,172.18,172.4,173.1,172.15,1638961200000,2100
366951.0,172.3715,172.48,172.29,172.74,172.0,1638964800000,5139
815523.0,171.8644,172.5499,172.091,172.7398,171.55,1638968400000,7715
18539400.0,172.271,172.09,172.7201,173.46,170.7,1638972000000,154737
23817011.0,173.7076,172.68,173.92,174.4465,172.0,1638975600000,180938
15340089.0,174.2435,173.92,174.8301,174.87,173.27,1638979200000,116922
9318607.0,174.2675,174.83,174.27,174.83,173.75,1638982800000,79483
6783482.0,174.4303,174.28,174.54,174.82,174.035,1638986400000,60343
